"Country or Area","Year(s)","Variant","Value"
"Bahamas","2025-2030","Medium","1.68"
"Bahamas","2020-2025","Medium","1.709"
"Bahamas","2015-2020","Medium","1.76"
"Bahamas","2010-2015","Medium","1.81"
"Bahamas","2005-2010","Medium","1.91"
"Bahamas","2000-2005","Medium","1.87"
"Bahamas","1995-2000","Medium","2.328"
"Bahamas","1990-1995","Medium","2.64"
"Bahamas","1985-1990","Medium","2.65"
"Bahamas","1980-1985","Medium","3.05"
"Bahamas","1975-1980","Medium","2.95"
"Bahamas","1970-1975","Medium","3.54"
"Costa Rica","2025-2030","Medium","1.623"
"Costa Rica","2020-2025","Medium","1.682"
"Costa Rica","2015-2020","Medium","1.764"
"Costa Rica","2010-2015","Medium","1.851"
"Costa Rica","2005-2010","Medium","1.94"
"Costa Rica","2000-2005","Medium","2.15"
"Costa Rica","1995-2000","Medium","2.614"
"Costa Rica","1990-1995","Medium","3.067"
"Costa Rica","1985-1990","Medium","3.406"
"Costa Rica","1980-1985","Medium","3.501"
"Costa Rica","1975-1980","Medium","3.704"
"Costa Rica","1970-1975","Medium","4.059"
"Croatia","2025-2030","Medium","1.409"
"Croatia","2020-2025","Medium","1.407"
"Croatia","2015-2020","Medium","1.446"
"Croatia","2010-2015","Medium","1.488"
"Croatia","2005-2010","Medium","1.522"
"Croatia","2000-2005","Medium","1.41"
"Croatia","1995-2000","Medium","1.62"
"Croatia","1990-1995","Medium","1.523"
"Croatia","1985-1990","Medium","1.72"
"Croatia","1980-1985","Medium","1.866"
"Croatia","1975-1980","Medium","1.899"
"Croatia","1970-1975","Medium","1.976"
"Egypt","2025-2030","Medium","2.962"
"Egypt","2020-2025","Medium","3.131"
"Egypt","2015-2020","Medium","3.33"
"Egypt","2010-2015","Medium","3.45"
"Egypt","2005-2010","Medium","3.02"
"Egypt","2000-2005","Medium","3.15"
"Egypt","1995-2000","Medium","3.6"
"Egypt","1990-1995","Medium","4.15"
"Egypt","1985-1990","Medium","5"
"Egypt","1980-1985","Medium","5.49"
"Egypt","1975-1980","Medium","5.7"
"Egypt","1970-1975","Medium","6"
"France","2025-2030","Medium","1.844"
"France","2020-2025","Medium","1.848"
"France","2015-2020","Medium","1.852"
"France","2010-2015","Medium","1.981"
"France","2005-2010","Medium","1.977"
"France","2000-2005","Medium","1.882"
"France","1995-2000","Medium","1.762"
"France","1990-1995","Medium","1.714"
"France","1985-1990","Medium","1.804"
"France","1980-1985","Medium","1.865"
"France","1975-1980","Medium","1.861"
"France","1970-1975","Medium","2.308"
"Germany","2025-2030","Medium","1.632"
"Germany","2020-2025","Medium","1.612"
"Germany","2015-2020","Medium","1.586"
"Germany","2010-2015","Medium","1.427"
"Germany","2005-2010","Medium","1.362"
"Germany","2000-2005","Medium","1.351"
"Germany","1995-2000","Medium","1.346"
"Germany","1990-1995","Medium","1.301"
"Germany","1985-1990","Medium","1.43"
"Germany","1980-1985","Medium","1.464"
"Germany","1975-1980","Medium","1.508"
"Germany","1970-1975","Medium","1.708"
"India","2025-2030","Medium","2.054"
"India","2020-2025","Medium","2.139"
"India","2015-2020","Medium","2.24"
"India","2010-2015","Medium","2.396"
"India","2005-2010","Medium","2.796"
"India","2000-2005","Medium","3.14"
"India","1995-2000","Medium","3.483"
"India","1990-1995","Medium","3.833"
"India","1985-1990","Medium","4.266"
"India","1980-1985","Medium","4.682"
"India","1975-1980","Medium","4.974"
"India","1970-1975","Medium","5.41"
"Japan","2025-2030","Medium","1.401"
"Japan","2020-2025","Medium","1.367"
"Japan","2015-2020","Medium","1.37"
"Japan","2010-2015","Medium","1.409"
"Japan","2005-2010","Medium","1.339"
"Japan","2000-2005","Medium","1.298"
"Japan","1995-2000","Medium","1.369"
"Japan","1990-1995","Medium","1.476"
"Japan","1985-1990","Medium","1.65"
"Japan","1980-1985","Medium","1.762"
"Japan","1975-1980","Medium","1.831"
"Japan","1970-1975","Medium","2.134"
"Netherlands","2025-2030","Medium","1.696"
"Netherlands","2020-2025","Medium","1.68"
"Netherlands","2015-2020","Medium","1.66"
"Netherlands","2010-2015","Medium","1.732"
"Netherlands","2005-2010","Medium","1.746"
"Netherlands","2000-2005","Medium","1.74"
"Netherlands","1995-2000","Medium","1.599"
"Netherlands","1990-1995","Medium","1.592"
"Netherlands","1985-1990","Medium","1.555"
"Netherlands","1980-1985","Medium","1.515"
"Netherlands","1975-1980","Medium","1.598"
"Netherlands","1970-1975","Medium","2.1"
"Northern America","2025-2030","Medium","1.761"
"Northern America","2020-2025","Medium","1.755"
"Northern America","2015-2020","Medium","1.753"
"Northern America","2010-2015","Medium","1.849"
"Northern America","2005-2010","Medium","2.015"
"Northern America","2000-2005","Medium","1.991"
"Northern America","1995-2000","Medium","1.954"
"Northern America","1990-1995","Medium","1.997"
"Northern America","1985-1990","Medium","1.885"
"Northern America","1980-1985","Medium","1.787"
"Northern America","1975-1980","Medium","1.768"
"Northern America","1970-1975","Medium","2.024"

